 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
05689;UDALLA;43,313714;-3,445541;BARRIO FRESNO, 14;39860;Ampuero;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05689.pdf;
05691;GIBAJA;43,282221;-3,438374;BARRIO ESTACION FERROCARRIL, 11;39809;Ramales de la Victoria;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05691.pdf;
05721;ARLA BERRON;43,166706;-3,227581;CAMINO EL BERRON, S/N;9585;Valle de Mena;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05721.pdf;
05722;UNGO NAVA;43,152027;-3,26588;CARRETERA CL-629 - ESTACION FERROCARRIL, S/N;9586;Valle de Mena;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05722.pdf;
05724;MERCADILLO-VILLASANA;43,105209;-3,264469;Ds Las Casillas;9588;Valle de Mena;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05724.pdf;
05727;CADAGUA;43,068078;-3,347473;CALLE CAMINO A MENA - ESTACION FERROCARRIL, S/N;9589;Valle de Mena;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05727.pdf;
05730;BERCEDO-MONTIJA;43,08852;-3,457309;CALLE ESTACION FERROCARRIL, 1;9569;Espinosa de los Monteros;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05730.pdf;
05731;QUINTANA DE LOS PRADOS;43,1350358;-3,5535711;Quintana de los P,32;9569;Espinosa de los Monteros;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05731.pdf;
05732;ESPINOSA DE LOS MONTEROS;43,074412;-3,537296;CARRETERA BU-526 - ESTACION FERROCARRIL, S/N;9560;Espinosa de los Monteros;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05732.pdf;
05733;REDONDO;43,060661;-3,619448;CALLE ESTACION FERROCARRIL S/N;9568;Espinosa de los Monteros;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05733.pdf;
05734;SOTOSCUEVA;43,04581;-3,67767;BARRIO ESTACION FERROCARRIL, 3;9568;Merindad de Sotoscueva;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05734.pdf;
05735;PEDROSA;43,012399;-3,737869;CARRETERA ESTACION FERROCARRIL, 6;9574;Merindad de Valdeporres;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05735.pdf;
05736;DOSANTE CIDAD;43,009436;-3,740331;CARRETERA ESTACION FERROCARRIL, S/N;9574;Merindad de Valdeporres;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05736.pdf;
05737;ROBREDO AHEDO;43,019054;-3,80933;CALLE ESTACION FERROCARRIL S/N;9573;Merindad de Valdeporres;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05737.pdf;
05738;SONCILLO;43,005809;-3,844888;CARRETERA BU-V-5791 - ESTACION FERROCARRIL, S/N;9572;Valle de Valdebezana;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05738.pdf;
05739;CABAÑAS DE VIRTUS;42,996397;-3,858466;CALLE ESTACION FERROCARRIL S/N;9572;Valle de Valdebezana;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05739.pdf;
05740;ARIJA;42,99135;-3,944616;CALLE ARSENIO BRACHOTT, 30;9570;Arija;Burgos;https://data.renfe.com/files/estaciones/FichaEstacion05740.pdf;
05741;LLANO;42,987954;-3,982559;CARRETERA CA-730 - ESTACION FERROCARRIL, S/N;39213;Rozas de Valdearroyo, Las;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion05741.pdf;
